Module,Progress,on UMSA,Conda,Wrappers,Repository,Extra Notes,Instrument specificity,Type,Importance,Function,Adaptations,Alternatives,Pubs
CFM-ID,,,,,https://github.com/computational-metabolomics/cfm-galaxy,https://bitbucket.org/wishartlab/msrb-fragmenter/src/master/,EI-MS & MS/MS,Other,,Spectral prediction,,,"1. 10.1093/nar/gku436
 2. 10.1007/s11306-014-0676-4
 3/ 10.1021/acs.analchem.6b01622
 4. 10.3390/metabo9040072"
MetFrag,,,,,https://github.com/computational-metabolomics/metfrag-galaxy,https://github.com/workflow4metabolomics/metfrag-galaxy,EI-MS & MS/MS,Other,,Spectral prediction,,,
RMassBank,wrapped,,bioconda/bioconductor-rmassbank,RECETOX/galaxytools/tree/master/tools/rmassbank,https://github.com/sneumann/RMassBank,,LC-MS/MS & GC-MS,Other,,Spectral cleaning for public depoition in MassBank EU,,,10.1002/jms.3131
MetGem,,,,,https://github.com/metgem/metgem,https://metgem.github.io/,EI-MS & MS/MS,Other,,Spectral similarity networking (molecular networking) for enhanced identification - links with spectral libraries matching,,"GNPS suite (code not open)
 https://gnps.ucsd.edu/ProteoSAFe/static/gnps-splash.jsp","1. 10.1021/acs.analchem.8b03099
 2. 10.1021/acs.analchem.9b02802"
MS-READY,Karolina,,,,https://github.com/kmansouri/MS-ready/releases/tag/v2.1,Knime workflow,,Other,,Standardisation of copmound SMILES for MS workflows,,"Perhaps similar functions in ChemicalToolbox, |'m not entirely sure.",10.1186/s13321-018-0299-2
QSAR-READY,Karolina,,,,https://github.com/kmansouri/QSAR-ready/releases/tag/2.5-beta6,Knime workflow,,Other,,Standardisation of compound SMILES for QSAR modelling,,"Perhaps similar functions in ChemicalToolbox, I'm not entirely sure.",10.1186/s13321-018-0315-6
OPERA,,,,,https://github.com/kmansouri/OPERA/releases/tag/v2.6-beta2,,,Other,,QSAR predictions,,"ChemicalToolbox - already in Galaxy
 https://github.com/bgruening/galaxytools/tree/master/chemicaltoolbox
 DOI: 10.1186/s13321-020-00442-7",10.1186/s13321-018-0263-1
NEIMS,N/A - (Hugo),,,,https://github.com/brain-research/deep-molecular-massspec,,GC-MS,Other,,Neural network for EI-spectra prediction,Test for high-res data,,10.1021/acscentsci.9b00085
MS2LDA,,,,,https://github.com/sdrogers/MS2LDA,,LC-MS/MS,Other,,Substructure modelling,Update for GC-MS spectra,"spec2vec - under development
 https://github.com/iomega/Spec2Vec",
molmass,,,NO,,https://github.com/cgohlke/molmass,https://pypi.org/project/molmass/,,Other,,"calculate the molecular mass (average, nominal, and isotopic pure), the elemental composition, and the mass distribution spectrum of a molecule given by its chemical formula, relative element weights, or sequence.",,,
mummichog2,,,,,https://github.com/shuzhao-li/mummichog,mummichog3 is currently under development for integration into online tools (https://grantome.com/grant/NIH/U01-CA235493-01 & https://shuzhao-li.github.io/mummichog.org/),LC-MS1,Stats,Favourable,m/z-based biological pathway enrichment mapping,,,10.1371/journal.pcbi.1003123
xmsPANDA,,,,,https://github.com/kuppal2/xmsPANDA,,*Mostly LC-MS1,Stats,,"statistical analysis (normalisation, transformation, multivariate stats, correlation networks & variable selection)",,"Metabox
 https://github.com/kwanjeeraw/metabox
 DOI: 10.1371/journal.pone.0171046",n/a
MetabNet,,,,,https://github.com/kuppal2/MetabNet,Mostly wrapped within xmsPANDA,All,Stats,,metabolic network analysis,,"MetScape - cytoscape plugin
 http://metscape.ncibi.org/
 DOI: 10.1093/bioinformatics/btx012
 
 MetaMapp
 https://github.com/barupal/metamapp
 DOI: 10.1186/1471-2105-13-99",10.3389/fbioe.2015.00087
xMWAS,,,,,https://github.com/kuppal2/xMWAS,,Multi-omics,Stats,,statistical integration of multi-omics datasets,,"mixOmics - already in Galaxy
 https://github.com/workflow4metabolomics/mixomics-galaxy-tools
 http://mixomics.org/",10.1093/bioinformatics/btx656
ChemRich,,,,,https://github.com/barupal/chemrich,https://chemrich.idsl.me/,All,Stats,,Chemical similarity enrichment,,,10.1038/s41598-017-15231-w
Data-adaptive filtering,,,,,https://github.com/courtneyschiffman/Data-adaptive-metabolomics,,All,Stats,,,,Numerous tools for stats -,10.1101/387365
WaveICA,wrapped,,no,,https://github.com/dengkuistat/WaveICA,May need to change output format once we have defined a downstream tool,LC-MS (GC-MS theoretically),Stats,,Normalize feature intensities between batches and within each batch,,"NormAE, ComBat",10.1016/j.aca.2019.02.010
